央视频道,#genre#
成都影视文艺,https://itv.lat/hls?channel=CDTV-4&token=fbca23599065f5bd644b330db4e3b1f5
成都公共,https://itv.lat/hls?channel=CDTV-5&token=fbca23599065f5bd644b330db4e3b1f5
CGTN俄语,https://itv.lat/hls?channel=ey_2000&token=fbca23599065f5bd644b330db4e3b1f5
CGTN法语,https://itv.lat/hls?channel=fy_2000&token=fbca23599065f5bd644b330db4e3b1f5
CGTN西语,https://itv.lat/hls?channel=xbyy_2000&token=fbca23599065f5bd644b330db4e3b1f5
CGTN英语,https://itv.lat/hls?channel=CGTN&token=fbca23599065f5bd644b330db4e3b1f5
央视备用,#genre#
CCTV-1 综合,https://live.0472.org/ysp/cctv1
CCTV-2 财经,https://live.0472.org/ysp/cctv2
CCTV-3 综艺,https://live.0472.org/ysp/cctv3
CCTV-4 国际,https://live.0472.org/ysp/cctv4
CCTV-5 体育,https://live.0472.org/ysp/cctv5
CCTV-5+ 体育赛事,https://live.0472.org/ysp/cctv5p
CCTV-6 电影,https://live.0472.org/ysp/cctv6
CCTV-7 国防军事,https://live.0472.org/ysp/cctv7
CCTV-8 电视剧,https://live.0472.org/ysp/cctv8
CCTV-9 记录,https://live.0472.org/ysp/cctv9
CCTV-10 科教,https://live.0472.org/ysp/cctv10
CCTV-11 戏曲,https://live.0472.org/ysp/cctv11
CCTV-12 社会与法,https://live.0472.org/ysp/cctv12
CCTV-13 新闻,https://live.0472.org/ysp/cctv13
CCTV-14 少儿,https://live.0472.org/ysp/cctv14
CCTV-15 音乐,https://live.0472.org/ysp/cctv15
CCTV-16 奥林匹克,https://live.0472.org/ysp/cctv16
CCTV-16 奥林匹克4K,https://live.0472.org/ysp/cctv16-4k
CCTV-17 农业农村,https://live.0472.org/ysp/cctv17
CCTV-4K 超高清,https://live.0472.org/ysp/cctv4k
CCTV-8K 超高清,https://live.0472.org/ysp/cctv8k
CGTN英语,https://live.0472.org/ysp/cgtn
CGTN纪录,https://live.0472.org/ysp/cgtn-dockmentary
CGTN西语,https://live.0472.org/ysp/cgtn-spanish
CGTN法语,https://live.0472.org/ysp/cgtn-french
CGTN阿语,https://live.0472.org/ysp/cgtn-arabic
CGTN俄语,https://live.0472.org/ysp/cgtn-russian
CETV-1,https://live.0472.org/ysp/cetv1
卫视备用,#genre#
北京卫视,https://live.0472.org/ysp/beijing
东方卫视,https://live.0472.org/ysp/dongfang
天津卫视,https://live.0472.org/ysp/tianjin
重庆卫视,https://live.0472.org/ysp/chongqing
黑龙江卫视,https://live.0472.org/ysp/heilongjiang
辽宁卫视,https://live.0472.org/ysp/liaoning
河北卫视,https://live.0472.org/ysp/hebei
山东卫视,https://live.0472.org/ysp/shandong
安徽卫视,https://live.0472.org/ysp/anhui
河南卫视,https://live.0472.org/ysp/henan
湖北卫视,https://live.0472.org/ysp/hubei
湖南卫视,https://live.0472.org/ysp/hunan
江西卫视,https://live.0472.org/ysp/jiangxi
江苏卫视,https://live.0472.org/ysp/jiangsu
浙江卫视,https://live.0472.org/ysp/zhejiang
东南卫视,https://live.0472.org/ysp/dongnan
广东卫视,https://live.0472.org/ysp/guangdong
深圳卫视,https://live.0472.org/ysp/shenzhen
广西卫视,https://live.0472.org/ysp/guangxi
贵州卫视,https://live.0472.org/ysp/guizhou
四川卫视,https://live.0472.org/ysp/sichuan
新疆卫视,https://live.0472.org/ysp/xinjiang
海南卫视,https://live.0472.org/ysp/hainan
兵团卫视,https://live.0472.org/ysp/bingtuan
